ds,yhat,yhat_lower,yhat_upper
2015-01-31,4387.57268353875,-1719.4995320248156,9888.709834219486
2015-02-28,-1095.032869177393,-7189.286274888333,4397.7767798798695
2015-03-31,19437.545802170884,13649.934053714667,25662.750901434276
2015-04-30,7304.805717451111,1301.8391204820077,13118.006953688347
2015-05-31,5951.081796571714,439.8932050972835,11967.286509954272
2015-06-30,3351.27513830888,-2135.3353847669687,9179.338651690949
2015-07-31,1361.6291889749618,-4741.477868633655,7074.269662561811
2015-08-31,7432.340595097297,1479.4525849990034,12981.978159934002
2015-09-30,7245.793384761365,1455.8102643849347,13233.702307084934
2015-10-31,7153.232523961071,1191.538666550916,13039.322517893223
2015-11-30,15202.206024238803,9285.29627450493,20986.86873239261
2015-12-31,9802.580223435405,3899.6290428821576,15360.043035736866
2016-01-31,3997.2131124549114,-1687.357110103505,10260.834229950857
2016-02-29,10398.911450692833,4817.73353101726,16355.503170428517
2016-03-31,6405.360917511352,548.1845679486736,11882.754375697274
2016-04-30,6449.023257480474,796.3573993002557,12766.903964511488
2016-05-31,8055.418109350112,2545.5375306449137,13936.069155155537
2016-06-30,7504.041865219844,1217.8390729540836,13056.390797045311
2016-07-31,4113.0563308999335,-1610.2112507521847,9863.597828423588
2016-08-31,4176.486770622963,-1747.429886719473,10263.35721005843
2016-09-30,12975.457298130601,7154.894190121915,18362.331708416947
2016-10-31,3675.5894558448135,-2188.381554472709,9622.599518118022
2016-11-30,13112.937844101409,7231.108490018795,18919.310890415178
2016-12-31,8977.728939170904,2536.608883201905,14656.69299072999
2017-01-31,7558.646576663232,1811.2765903549748,13580.568416064909
2017-02-28,7326.348753038821,1549.8045848591457,13458.36740082834
2017-03-31,11532.05946147806,5249.805891095995,17311.217177399274
2017-04-30,7642.728175701231,1764.0626041059033,13776.497356550797
2017-05-31,8246.73983408307,2784.119439977823,14527.397363220021
2017-06-30,6974.366680242301,560.4581243068488,13016.449907020275
2017-07-31,4011.577036914664,-1761.4509861367867,10117.313859077261
2017-08-31,6106.106140064942,608.8750690864772,12124.81725310147
2017-09-30,11900.728085712482,5625.830289778422,17557.10273915833
2017-10-31,5646.670366108259,-432.28740805752807,11324.02376908965
2017-11-30,14680.267406493604,8627.692285778101,20529.35779447158
2017-12-31,10149.280673425994,4362.559410137922,15870.202802092484
2018-01-31,7270.889585811275,1537.6983820554155,12981.362599318843
2018-02-28,4342.059498927708,-1841.6963001099598,10193.242520284124
2018-03-31,16725.752521014347,10944.498267004927,22840.496688848292
2018-04-30,8776.68806178073,3248.6158248068737,14793.196615481495
2018-05-31,8393.226979075585,2905.6448617987357,14371.844714031022
2018-06-30,6437.642810577912,289.9639156122868,12043.252407647451
2018-07-31,3942.259831373446,-2030.1272691412976,9432.601339507088
2018-08-31,8039.812838884937,2177.7491956349513,13754.563241097392
2018-09-30,10838.583871618026,5278.139436754705,16911.17503089378
2018-10-31,7654.53943367536,1665.5464788922782,13503.979036454624
2018-11-30,16225.37459317279,10534.393544344419,22632.04644422398
2018-12-31,11272.515124130803,5947.8856096987365,17414.77706040786
2019-01-31,6931.217526121842,1092.8658363180195,12456.103418579665
2019-02-28,1448.6683930848412,-4588.7763601608085,7354.895742188252
2019-03-31,21981.309529161008,15668.362677660321,27663.193757624733
