ds,yhat,yhat_lower,yhat_upper
2015-01-31,5486.998037367474,821.2723893561766,10258.367683249111
2015-02-28,3063.0300418444604,-1460.1954784973277,7915.512839985304
2015-03-31,10892.459623100798,5875.685328142018,15675.673467611196
2015-04-30,2013.9481949733072,-2754.0210407561894,6970.021921752509
2015-05-31,5273.7440276724465,516.6141468857375,10389.399077086444
2015-06-30,7109.573085813222,2330.381247771416,11777.69329491665
2015-07-31,4008.032281159214,-646.9361147553665,8767.122971419294
2015-08-31,-420.9055074096432,-5229.253260678953,4286.346067588713
2015-09-30,27448.188413613934,22923.471319557546,32223.89340241804
2015-10-31,9300.43174165895,4733.268944297098,14121.398772219025
2015-11-30,12012.83755451685,7734.622772998294,16683.57347776968
2015-12-31,13556.595845014177,8945.149336593402,18475.95224803499
2016-01-31,6205.850271352433,1346.2238108506574,10617.824376274315
2016-02-29,-1515.826764882151,-6037.62252954626,3321.8135736680815
2016-03-31,6575.0030415147985,2110.6603436980977,11226.483175881904
2016-04-30,8456.171982152937,3968.188327967328,13632.981322838883
2016-05-31,10071.921137363084,5362.301100555602,14881.408975737135
2016-06-30,4373.294049485969,-68.54152257015674,9320.750260079505
2016-07-31,8964.058068405275,4369.848255963744,13846.43589783629
2016-08-31,10711.635331601163,6529.618343918975,15705.42747399489
2016-09-30,8176.127935316679,3634.8928348199524,13099.911959387822
2016-10-31,14770.30394943636,10108.900579997724,19182.928552349622
2016-11-30,17779.052549436128,13145.996963017205,23015.698234173426
2016-12-31,19481.17164771274,14816.58475921955,24049.643335805496
2017-01-31,9427.368853158141,4557.317718701278,14381.868647671083
2017-02-28,1710.8928863185893,-2806.318351698352,6391.633371650812
2017-03-31,9799.252029589708,4940.522715743385,14214.56999144634
2017-04-30,8089.307595904539,3599.9655337464624,12716.659063091012
2017-05-31,10184.56075693474,5149.748635150493,14997.220816171477
2017-06-30,7016.967680971315,1939.1738967204958,11786.51659513739
2017-07-31,9068.258361767805,4279.653067025451,14064.889288885894
2017-08-31,8628.125093663779,4146.939863331423,13509.644062815094
2017-09-30,16320.97849785402,11430.877800164926,20740.511352147518
2017-10-31,14791.332767156786,10130.647633868619,19696.073670636488
2017-11-30,17617.714076606626,12662.772287025373,22249.786849347096
2017-12-31,19219.6929885347,14920.010456411619,23781.681079469534
2018-01-31,10024.255331454046,5232.827925960147,14814.839080289745
2018-02-28,4969.695035874538,255.93452828709152,9504.042783919338
2018-03-31,12970.76182508344,8137.120314842995,17803.373690596167
2018-04-30,7672.814535384705,3293.7605810254595,12630.865288747063
2018-05-31,10316.16001725839,5509.441973160175,15201.118406590922
2018-06-30,9660.806369101294,4888.344424674062,14536.89525380489
2018-07-31,9147.133174567276,4488.653220434117,14120.270451028882
2018-08-31,6648.043245842684,1814.6148947398153,11206.365415627124
2018-09-30,24478.838030062987,20248.359847771404,29099.06182532933
2018-10-31,14699.523317931542,9755.483694233848,19651.44962274774
2018-11-30,17426.265390038672,12828.564137922478,22141.47201172471
2018-12-31,18975.449051739277,14192.86961583769,23733.876328005346
2019-01-31,10681.561632896528,6110.242322766913,15299.724714459617
2019-02-28,8257.589898493707,3432.2579452638033,12986.70296991352
2019-03-31,16087.015343257211,11279.303944302139,20636.061941906988
