ds,yhat,yhat_lower,yhat_upper
2015-01-31,596.7771017439336,-5392.789296252937,6568.258876901181
2015-02-28,-996.4157289680825,-7116.4223514984,4869.414775933784
2015-03-31,6522.786942991101,465.6337466257734,12396.964423561976
2015-04-30,4957.79350385854,-1054.274657007689,11241.033438777049
2015-05-31,6941.56265684678,1028.5959195487546,13077.883072772327
2015-06-30,11097.06182555496,5008.181072252098,17081.336819714114
2015-07-31,2918.941285918754,-3297.4516896416526,8805.106692883981
2015-08-31,6647.98890872591,970.7641582293664,12472.14406546377
2015-09-30,21893.39813021046,15918.121378134481,27936.18211997044
2015-10-31,14449.913770952908,8263.349705797182,20413.650790338255
2015-11-30,32134.9153370493,26388.495689436262,38096.03740954538
2015-12-31,18607.739633685145,13042.232338307822,24574.14375399053
2016-01-31,3312.448208469048,-2848.5771137964016,9480.328127445191
2016-02-29,3827.7496598435655,-2013.114368210928,10071.492604832467
2016-03-31,5605.533916680365,-409.5264636023013,11572.842622533259
2016-04-30,9406.132271853696,3084.9531713479773,15189.975916239968
2016-05-31,10001.923235960017,3979.6396015295686,15744.024576226744
2016-06-30,6482.375241707333,337.2508331300901,12504.740120543074
2016-07-31,10474.905987587219,4985.174087468133,15969.316781141175
2016-08-31,10517.250340088378,4359.432287644698,16750.02198691865
2016-09-30,26788.65856714937,20660.500107572036,32378.04242147916
2016-10-31,12331.853448125505,5996.905360146394,17930.864649072908
2016-11-30,31536.863367167738,25483.61690710937,38094.81550596624
2016-12-31,24828.778113884575,18945.399942320248,30989.471928621453
2017-01-31,4300.131158089733,-1680.6620337876668,10519.105269377824
2017-02-28,5244.578956843761,-855.6841479564956,11206.604467644984
2017-03-31,8945.036029808176,2709.7675868702727,15285.012455660979
2017-04-30,10968.27079451384,4940.706320901048,17141.235766581063
2017-05-31,11991.323216098785,5980.35225408274,18358.452024292845
2017-06-30,11085.501869897907,5070.702085862681,17077.037360808845
2017-07-31,11035.779474296221,5300.108247295864,16656.24297311239
2017-08-31,12255.079992141742,6164.924293583557,18571.06163181026
2017-09-30,28162.68608563448,21832.42741298413,33801.64018428449
2017-10-31,16044.624317814412,10271.41883925278,22164.429659651614
2017-11-30,34816.767066039945,28403.92788125853,40786.98753687329
2017-12-31,25814.875850871358,19404.549757668297,31572.399007539072
2018-01-31,7003.829807185251,1509.4231821887981,12993.313746358284
2018-02-28,6675.1910000509,697.3370710249683,12718.39341830287
2018-03-31,12289.95028275195,6270.806854322239,18487.086065361458
2018-04-30,12524.188622802862,6733.581936509846,18662.009143094616
2018-05-31,14010.13585709763,8466.838820052104,20119.41424382829
2018-06-30,15663.313064307653,10048.223309652869,21546.37644022719
2018-07-31,11555.466499712187,5657.052104843991,17446.8204401272
2018-08-31,14003.787054188719,7835.648816095604,20215.420588983277
2018-09-30,29569.57572265053,23301.084502809037,35559.72424852554
2018-10-31,19790.129604077472,14034.066532704688,25398.26303236471
2018-11-30,38055.411947496184,32442.000147881026,43992.388628097404
2018-12-31,26779.64478004348,20781.701916375474,33159.26583201193
2019-01-31,9713.411357289815,3210.49873829911,15292.01673793211
2019-02-28,8120.218592218052,1940.0523477528372,14537.613894120888
2019-03-31,15639.421336982872,9243.486866468218,21311.994981091015
